"","con1","con2","treat1","treat2","con3","con4","treat3","treat4"
"GOLGA6L2",191,161,204,189,268,203,215,169
"MKRN3",1036,868,642,598,1144,996,860,655
"RNU6-741P",1802,1356,1494,1432,2261,1924,2054,1509
"PWRN1",1430,1399,1537,1223,1351,1276,1607,1201
"AC087463.2",13,20,19,28,15,14,22,20
"RPL5P1",38,35,28,20,35,34,35,22
"AC090602.1",82,77,61,78,77,72,89,72
"SNURF",281,264,189,147,172,169,171,150
"PWAR5",209,186,242,228,341,267,320,221
"SNORD116-5",95,70,125,124,58,74,120,99
"SNORD116-6",446,392,409,371,465,453,400,302
"SNORD116-10",273,158,305,307,293,258,373,266
"SNORD116-14",407,340,447,358,301,235,516,341
"SNORD116-16",987,748,896,975,1407,1166,1557,1183
"SNORD116-22",477,381,497,519,539,485,527,453
"SNORD116-25",7407,6872,12740,10944,5190,4874,10492,8322
"SNORD116-26",580,557,625,494,507,490,601,455
"SNORD116-29",141,131,89,68,166,191,129,119
"DMAC1P1",32,19,21,11,32,16,26,19
"SNORD115-5",130,111,147,132,88,111,144,154
"SNORD115-6",115,97,83,67,126,124,74,63
"SNORD115-9",1570,1072,1958,2115,1340,1058,1904,1781
"SNORD115-11",94,86,68,58,131,137,93,73
"SNORD115-14",227,162,273,273,121,116,248,190
"SNORD115-15",25,22,21,15,25,35,20,7
"SNORD115-17",106,100,75,78,146,115,106,61
"SNORD115-21",106,78,105,106,115,111,104,90
"SNORD115-30",45,38,47,49,42,33,38,36
"SNORD115-35",608,492,544,516,531,489,661,514
"SNORD115-36",176,122,181,208,230,192,218,142
"SNORD115-37",71,38,61,61,73,66,108,74
"SNORD115-38",283,227,293,264,298,302,370,270
"SNORD115-39",88,72,77,94,104,94,123,77
"SNORD115-40",236,170,211,197,357,285,306,216
"SNORD115-44",11,10,6,12,17,14,15,17
"AC124303.2",135,124,184,207,148,116,195,144
"SNORD115-45",1391,1130,1455,1486,1286,1111,1403,1131
"SNORD115-46",168,160,175,141,195,185,219,150
"SNORD109B",864,689,935,908,977,859,1080,837
"AC100774.1",1034,710,1160,1234,976,926,1341,1003
