"","con1","con2","treat1","treat2","con3","con4","treat3","treat4"
"DDX11L1",1761,1695,2117,1783,1406,1209,2191,1616
"MIR1302-2",1306,940,1538,1492,1402,1197,1609,1374
"FAM138A",24,16,29,29,43,27,37,31
"OR4G11P",318,247,426,454,382,285,476,356
"CICP27",45,36,76,78,31,26,46,50
"AL627309.6",46,28,28,28,35,33,23,36
"OR4F29",927,841,949,738,790,794,920,729
"CICP7",456,336,595,720,579,487,852,705
"U6",57,47,44,42,65,58,64,48
"MTND1P23",4381,3915,3719,3177,4066,3862,4316,3364
"MTND2P28",1486,1279,1907,1728,1526,1468,2085,1582
"MTCO1P12",134,101,133,123,154,128,141,135
"OR4F16",554,422,496,517,490,421,592,458
"RNU6-1199P",1198,997,1059,971,1055,1042,1194,867
"AL669831.2",1147,866,1105,947,910,810,869,670
"LINC01409",62,53,48,47,53,40,70,26
"AL669831.5",424,299,347,354,609,427,464,356
"AL645608.6",734,536,778,905,955,774,869,723
"NOC2L",376,276,418,442,362,339,472,367
"PLEKHN1",236,226,152,154,303,259,181,141
"PERM1",60,71,35,25,79,71,53,31
"AL645608.7",559,523,652,514,503,440,528,432
"AL645608.3",54,27,67,53,64,54,85,65
"AL645608.8",45,38,44,43,61,55,69,46
"LINC01342",1009,703,639,590,721,620,1004,746
"MIR200A",508,366,304,334,356,312,388,307
"LINC01786",91,87,74,69,98,84,101,49
"MIR6726",599,547,857,687,903,787,959,735
"INTS11",720,474,744,820,923,718,901,707
"MIR6727",5311,5010,6080,5136,4944,4819,5762,4401
"MXRA8",1722,1400,1588,1549,1573,1460,1894,1338
"MRPL20",2355,1859,2363,2417,2234,1842,2395,1856
"AL645728.2",150,132,133,127,143,117,168,113
"ATAD3A",1874,1880,1978,1597,1362,1188,1620,1234
"TMEM240",501,417,473,437,642,635,586,504
"AL691432.3",78,59,28,39,71,75,48,34
"FNDC10",26,16,23,28,38,24,35,34
"AL691432.2",819,656,739,728,504,426,680,606
"CDK11A",19,15,27,20,13,11,18,16
"AL031282.1",749,552,930,969,895,758,1341,1022
"GNB1",789,585,975,940,857,737,1012,774
"AL391845.2",312,281,168,163,363,297,236,166
"AL391845.1",1364,1170,1364,1194,1429,1263,1181,958
"PRKCZ",604,475,568,537,588,527,591,442
"AL590822.2",955,854,820,748,892,869,941,733
"SKI",25,34,30,24,31,19,32,28
"AL590822.3",479,329,515,521,565,471,636,454
"MORN1",1590,1203,1815,1772,1663,1426,1761,1446
"RER1",526,439,477,442,332,305,457,351
"PEX10",17,25,21,16,25,18,17,12
"PLCH2",11,13,17,14,10,20,24,20
"HES5",30,36,9,7,31,20,15,21
"TNFRSF14",28,22,28,27,45,40,46,37
"MMEL1",1334,1151,1499,1371,1050,965,1420,1020
"ACTRT2",626,526,532,508,611,529,616,469
"MIR551A",509,432,572,570,404,366,592,499
"TP73-AS1",368,262,309,311,387,329,379,272
"CCDC27",763,653,804,653,693,674,858,606
"LRRC47",135,119,147,112,117,140,127,106
"CEP104",49,42,45,40,31,29,43,33
"DFFB",604,540,302,240,452,424,404,306
"LINC01346",1764,1555,1932,1632,1481,1295,1959,1428
"LINC02780",475,358,460,476,474,438,493,361
"LINC01646",82,60,64,61,65,75,56,49
"Z98886.1",345,296,507,481,325,307,782,629
"Z98259.3",192,134,225,279,242,195,372,269
"Z97988.2",75,48,87,86,46,52,56,48
"AL365255.1",1702,1251,1726,1627,1748,1378,1763,1257
"NPHP4",55,26,24,22,54,39,61,56
"ICMT",6569,5340,8609,7838,5534,5027,6738,5082
"HES3",69,50,64,44,82,62,71,61
"ESPN",284,246,250,229,170,148,243,176
"TNFRSF25",146,144,170,131,178,149,196,164
"AL591866.1",642,428,537,566,585,505,585,527
"THAP3",79,61,60,66,79,51,62,36
"LINC01672",1899,1788,1576,1202,2173,2134,1797,1326
"CAMTA1-DT",1121,824,1091,1211,1220,1139,1284,1047
"CAMTA1-IT1",2075,1760,1768,1579,1606,1502,1994,1634
"Z98884.2",2285,2100,2740,2427,2626,2387,2367,1711
"Z98884.1",1879,1653,1453,1176,1795,1564,1523,1079
"TNFRSF9",1144,1050,947,793,972,927,829,648
"AL034417.3",2682,2372,3349,2849,2671,2527,3894,3143
"LINC01714",321,319,299,313,300,297,299,268
"AL358876.2",1111,759,937,1010,878,716,920,772
"AL356072.1",1751,1630,1807,1395,1806,1732,2037,1385
"RERE",3807,3160,3894,3571,4414,3838,4490,3327
"AL096855.2",863,762,421,399,849,806,654,494
"RPL7P11",888,685,766,736,741,686,776,597
"AL357552.1",883,866,1161,953,1023,949,1239,976
"RPL23AP19",2087,1948,1835,1495,1913,1776,1962,1456
"ENO1",3789,3420,4856,4072,4012,3644,5091,3601
"MIR6728",309,179,293,291,317,273,298,245
"GPR157",21,18,21,18,10,16,23,13
"MIR34AHG",895,775,744,655,891,763,817,658
"LINC02606",921,758,949,784,775,641,754,590
"AL928921.1",1717,1329,1599,1535,1740,1529,1666,1360
"SLC25A33",130,119,43,40,72,66,66,51
"AL954705.1",148,136,106,86,142,124,123,122
"MZT1P1",29,31,54,50,28,35,73,55
"CTNNBIP1",2751,2354,2410,2098,3619,3304,2924,2197
"AL357140.1",26,29,21,15,26,18,19,20
"PGAM1P11",1296,1175,1192,952,1129,1058,1166,845
"RNU6-828P",48,48,47,39,39,48,42,32
"RNU6-37P",33,30,36,36,32,28,49,41
"RN7SL731P",33,24,32,28,19,20,19,16
"PGD",64,51,58,59,57,36,65,46
"AL139424.1",106,104,68,67,120,111,107,86
"DFFA",1019,668,1143,1393,1081,834,1378,1320
"RN7SL614P",1446,1188,2559,2235,1543,1280,2669,2146
"CASZ1",712,566,1124,1048,789,679,1267,943
"HSPE1P24",94,78,105,114,146,143,130,133
"AL109811.3",24,20,31,25,21,27,45,38
"EXOSC10",268,274,291,231,312,289,268,194
"RNU6-291P",1347,1182,1237,1159,1817,1726,1668,1343
"LINC01647",441,316,403,432,331,281,437,365
"C1orf167-AS1",49,35,32,44,46,38,43,24
"MTHFR",484,478,457,497,364,343,462,399
"AL021155.3",657,491,535,416,516,481,612,446
"AL021155.4",24,19,16,15,24,16,21,17
"RNU5E-1",111,112,116,77,127,105,131,108
"KIAA2013",218,185,347,316,263,214,379,278
"RN7SL649P",131,101,132,131,85,72,165,133
"TNFRSF8",1482,1106,1845,1949,1633,1442,1959,1481
"SNORA59A",224,183,278,280,334,245,318,275
"LINC02766",2484,1797,3216,3498,1995,1694,3127,2612
"MIR6730",29,24,17,18,31,35,25,13
"AC244670.1",17,10,8,10,12,14,14,15
"AADACL3",41,30,51,35,41,23,48,27
"C1orf158",346,249,279,302,358,312,335,266
"PRAMEF30P",290,205,214,228,307,282,251,161
"PRAMEF2",66,62,82,74,52,57,74,55
"PRAMEF28P",247,195,197,207,172,138,200,129
"PRAMEF27",715,570,734,669,688,593,708,506
"AC245056.1",1874,1787,1869,1619,1021,1083,1330,975
"RNU6-771P",823,784,672,540,611,577,704,497
"AC243961.1",266,259,198,177,353,302,256,180
"PRAMEF20",73,43,35,34,59,52,39,18
"AL359771.1",119,78,78,116,74,73,100,66
"RNU6-1265P",189,167,127,115,256,275,190,152
"AL357873.1",1005,876,752,681,1003,917,782,540
"TBCAP2",21,17,37,35,21,31,36,27
"MFFP1",202,222,225,163,160,145,193,151
"FHAD1",405,292,389,322,400,349,294,200
"AL031283.1",68,74,82,82,108,96,128,76
"EFHD2",120,101,69,42,160,134,94,69
"CASP9",323,238,378,393,435,404,499,400
"SCARNA21B",595,556,831,737,660,572,861,656
"AGMAT",15128,11479,12873,13216,12404,10419,13441,10420
"DDI2",1912,1431,1422,1482,1991,1752,1654,1242
"SLC25A34-AS1",43,24,23,22,34,25,27,16
"RPL12P14",738,642,706,613,896,868,900,688
"CLCNKA",164,140,240,207,217,206,297,214
"AL451042.1",79,60,57,36,75,88,57,41
"ARHGEF19",398,307,462,507,465,423,580,427
"AL109627.1",528,417,499,505,496,422,563,408
"CROCCP3",1166,965,1566,1549,958,748,1503,1204
"AL137802.2",392,276,508,422,446,367,520,357
"RNU1-6P",2237,1772,2336,2269,2406,2019,2487,1871
"AL355149.1",3489,2858,3900,3674,2874,2642,4484,3731
"NBPF1",778,730,1094,970,1135,971,1317,917
"AL137798.1",276,218,271,239,444,389,439,315
"RNU1-3",55,38,39,50,43,46,54,44
"AL021920.3",31,34,23,21,31,29,21,18
"CROCC",518,346,599,697,775,566,880,671
"RNU1-4",171,173,150,117,356,299,260,213
"BX284668.1",491,440,333,329,466,385,321,274
"MFAP2",500,419,395,354,582,503,373,292
"ATP13A2",119,89,92,99,148,126,118,105
"RCC2-AS1",264,193,200,179,295,262,214,177
"LINC02810",1309,1150,1510,1228,1228,1204,1443,1120
"ACTL8",390,279,297,285,430,379,429,336
"AL357509.1",237,184,104,100,187,195,148,108
"IGSF21",2040,1640,2641,2549,2115,1731,2738,2046
"IGSF21-AS1",293,218,365,347,384,349,423,313
"TAS1R2",539,454,512,485,369,295,466,368
"ALDH4A1",3549,2901,3774,3662,3875,3426,3697,3075
"MIR4695",383,321,292,271,302,287,286,190
"AL137127.1",665,700,625,456,907,866,736,550
"EMC1-AS1",31,22,34,37,40,40,46,31
"EMC1",11,14,15,13,28,19,16,16
"AL035413.2",238,154,248,310,232,202,313,248
"AKR7L",29538,26277,26775,23552,27233,24844,26369,19721
"AKR7A3",884,856,717,704,886,794,737,642
"AL035413.1",936,824,933,881,1290,1175,1143,928
"SLC66A1",224,203,186,185,177,203,194,161
"MICOS10-NBL1",2130,1585,2166,2365,1783,1492,2672,2024
"AL391883.1",32,18,34,34,52,49,56,32
"PLA2G2A",327,263,358,367,385,299,442,320
"UBXN10",797,720,913,797,902,796,1001,789
"LINC01757",16,9,16,16,15,11,24,17
"AL139254.3",357,297,343,315,551,409,465,380
"RPS4XP4",172,141,376,299,122,109,319,235
"CDA",392,299,520,541,311,281,456,378
"DDOST",246,213,235,196,270,227,234,200
"AL663074.2",64,35,35,35,116,83,56,39
"HP1BP3",466,410,284,219,395,376,310,217
"EIF4G3",1184,801,1194,1284,1288,1114,1532,1230
"AL031005.2",2132,1711,2563,2213,1689,1588,2392,1992
"CROCCP5",19,10,28,15,34,24,54,27
"NBPF3",703,636,954,845,759,757,1115,803
"PFN1P10",22,33,13,9,42,37,33,19
"LINC02596",949,820,784,780,1046,1022,1106,705
"AL590103.1",73,79,123,122,79,58,135,102
"RN7SL386P",27,18,17,11,33,26,16,10
"CDC42-AS1",1441,1286,442,365,1271,1216,459,333
"CDC42-IT1",543,483,446,410,456,443,517,342
"ZBTB40-IT1",3946,3071,5131,5195,5846,4993,6795,4973
"C1QC",101,79,103,89,103,86,98,81
"MIR4684",41341,35451,38820,33197,32539,29079,35802,27019
"AL512444.1",52,45,31,14,26,37,37,27
"LACTBL1",1966,1698,1715,1506,1761,1552,2236,1750
"RNU6-514P",1846,1663,1710,1398,1668,1458,1663,1240
"RNU6-135P",174,137,233,211,294,290,376,272
"ZNF436-AS1",7,13,17,15,16,15,25,23
"TCEA3",706,553,631,615,687,590,557,512
"MDS2",180,110,156,177,184,177,249,184
"ELOA",17,17,30,25,9,14,20,9
"GALE",80,65,53,33,78,69,53,51
"FUCA1",15,13,21,22,15,27,21,21
"CNR2",1379,1167,1336,1195,1181,1109,1353,965
"AL590609.2",218,200,136,112,248,198,169,116
"MYOM3-AS1",2417,1672,1791,1803,1354,1191,1777,1442
"LINC02800",573,420,485,542,606,514,496,464
"GRHL3",353,334,325,237,494,374,465,324
"NIPAL3",12,13,16,22,5,4,16,16
"AL445686.1",168,138,137,144,119,112,163,134
"AL445648.1",2048,1824,1982,1749,3777,3389,4030,3011
"MIR4425",45,27,47,40,37,32,60,55
"IFITM3P7",133,129,193,225,247,179,286,189
"AL031432.5",1201,1005,1362,1157,1644,1494,1802,1292
"RHCE",2051,1718,2015,1898,2167,1931,2057,1660
"LDLRAP1",46,30,54,68,49,43,75,52
"AL031280.1",273,266,106,88,239,212,147,109
"MTFR1L",3444,3149,2766,2229,3127,2900,3413,2783
"AL020996.3",4140,3193,4328,4807,4107,3527,4095,3698
"AL033528.1",284,240,353,365,308,258,352,325
"AL033528.2",561,506,382,345,590,530,533,402
"MIR3917",21,13,25,19,35,21,29,22
"PAFAH2",1328,888,1812,1773,1283,1156,1987,1570
"AL592064.1",668,498,707,636,720,578,747,564
"AL391650.1",262,215,283,269,388,302,318,235
"CNKSR1",78,66,74,82,60,66,90,55
"CATSPER4",1450,866,1326,1580,1278,959,1454,1379
"AL355877.2",656,571,469,394,392,373,527,392
"DHDDS",120,119,95,93,176,166,140,95
"HMGN2",29,30,26,27,35,31,33,19
"DPPA2P2",72,86,93,64,91,69,70,72
"RN7SL679P",246,244,199,150,211,208,233,170
"AL627313.1",154,120,101,117,190,173,153,129
"AL627082.2",2471,1886,2633,2611,1984,1674,2626,2068
"AL627082.1",285,220,353,350,260,230,387,306
"PIGV",241,192,292,242,146,152,213,197
"RN7SL165P",30,27,40,32,18,21,36,30
"AL034380.2",795,607,1004,967,996,854,1286,1021
"ZDHHC18",3014,2681,2821,2520,2520,2266,2915,2025
"TENT5B",20,10,12,14,18,15,19,7
"CHCHD3P3",34,17,18,12,16,8,15,15
"SNRPEP7",868,714,947,884,927,858,1032,801
"FO393419.3",37,32,30,27,20,22,27,26
"ACTG1P20",446,305,540,552,545,424,597,472
"CD164L2",688,506,843,852,652,613,890,722
"FO393419.1",427,339,326,259,447,430,406,267
"WASF2",163,132,192,150,118,130,312,247
"AHDC1",848,781,769,742,1216,1120,1058,770
"LINC02574",327,255,448,545,440,386,698,509
"CHMP1AP1",48,60,55,46,48,38,49,41
"FAM76A",202,171,151,127,289,234,254,175
"STX12",110,105,181,168,43,62,163,122
"RNU6-1245P",1006,805,1074,1092,1190,974,1091,856
"PPP1R8",27,16,25,28,25,24,28,18
"SMPDL3B",711,539,809,834,1000,896,1080,793
"RN7SL559P",512,450,467,406,405,409,459,342
"AL353622.1",302,260,222,184,173,155,193,159
"RCC1",1561,1426,1222,971,1891,1704,1532,1122
"AL513497.1",3457,3076,2722,2155,2181,2091,3051,2315
"SNORA44",419,344,565,458,712,628,670,496
"RAB42",1488,1243,1286,1161,1337,1142,1595,1248
"LINC01715",135,113,57,43,104,78,51,37
"AL138785.1",41,39,25,19,36,36,30,11
"TMEM200B",115,115,187,176,206,194,283,189
"AL357500.2",6258,4881,8725,8475,6169,5468,9104,7177
"AC092265.1",253,202,235,235,316,303,250,153
"LINC01648",239,221,294,272,215,200,289,240
"AL021921.1",8782,5596,7280,8708,6826,5624,7557,7034
"AL161638.1",118,70,30,41,131,108,51,34
"AL137027.1",177,165,107,111,291,354,239,173
"RN7SKP91",10,4,19,13,18,18,25,14
"AL356320.2",17,18,19,20,17,21,21,10
"AL451070.1",149,124,75,97,163,125,115,83
"LINC01226",819,691,804,800,1054,918,1081,854
"AL354919.2",9591,8427,11698,10265,7951,7532,10876,7901
"AL136115.3",5230,4301,5953,5337,4960,4299,5470,4413
"MIR5585",641,423,655,717,762,600,829,607
"KPNA6",367,310,339,355,379,336,450,321
"TXLNA",23,20,23,18,17,24,20,9
"CCDC28B",2096,1439,1530,1991,1589,1227,1501,1388
"TMEM234",30,27,17,22,26,17,14,13
"LCK",30,11,13,20,17,18,22,12
"AL109945.1",130,84,76,68,97,91,72,64
"AL356986.1",256,238,187,180,428,404,267,195
"SYNC",1374,991,1154,1352,2057,1673,1803,1430
"AC114489.2",290,221,103,83,73,54,51,50
"AL020995.1",584,411,613,688,1100,918,868,637
"TRIM62",2441,1874,2135,2228,2496,2182,2521,1832
"AL662907.2",1956,1728,2593,2198,1727,1635,2165,1696
"ZNF362",908,797,847,779,937,888,952,748
"AL513327.2",431,327,357,360,599,510,419,329
"MIR3605",395,333,371,440,442,350,470,384
"TLR12P",555,481,531,411,431,412,481,375
"AC115285.1",1447,1217,1112,1031,932,757,1181,883
"CSMD2",2758,2441,3400,2996,2785,2517,3540,2804
"HSPD1P14",63,43,36,41,94,71,60,55
"DLGAP3",52,54,55,52,41,37,49,42
"RPL12P45",57,28,58,51,75,53,66,43
"ZMYM4",254,236,295,222,212,213,322,237
"AC004865.1",27,33,20,12,28,24,27,16
"AL139286.1",19,12,29,41,21,15,22,30
"AL138787.2",315,252,279,269,310,233,306,241
"THRAP3",96,83,72,65,105,102,67,47
"FTLP18",5913,5163,3402,2750,7301,6935,3449,2605
"AL596257.1",1173,1096,1433,1172,913,818,1204,888
"AC117945.1",811,739,876,721,886,767,958,725
"AL353604.1",785,601,495,497,1038,900,755,566
"MIR4255",36,21,16,17,40,37,20,10
"ZC3H12A",45,24,31,33,36,28,39,51
"MIR6732",361,291,354,316,395,327,384,276
"GNL2",1684,1415,1733,1470,1538,1423,1932,1473
"AL513220.1",251,175,131,131,270,246,217,164
"ACTN4P2",123,110,151,130,89,94,209,155
"MANEAL",3959,3194,3832,3750,4553,3791,4598,3495
"YRDC",95,82,53,41,85,57,58,37
"C1orf122",210,158,202,196,180,150,181,153
"INPP5B",44,41,50,39,103,98,66,51
"POU3F1",60,39,88,72,36,41,67,69
"AL390839.2",34,23,34,32,13,13,30,13
"AL513479.1",1031,862,961,923,1116,970,1222,843
"RNU6-753P",1470,1137,1715,1737,1587,1418,1821,1373
"AL354702.1",2099,1740,2363,2310,2087,1813,2480,1912
"AL139260.1",84,73,68,49,139,128,93,87
"MACF1",281,212,280,256,268,218,233,219
"OXCT2P1",164,116,160,152,272,218,355,220
"PABPC4-AS1",33,46,53,41,39,32,48,40
"AL035404.1",1440,1175,1765,1715,1239,1097,1691,1192
"RNU7-121P",1367,1099,1027,975,1299,1160,1052,789
"BMP8B",2905,2431,2637,2356,2316,2044,2206,1700
"AL033527.2",57,61,94,106,74,74,116,85
"MYCL-AS1",628,454,682,711,693,593,808,654
"CAP1",504,363,706,695,615,542,855,679
"OAZ1P1",116,99,86,63,122,108,134,87
"ZFP69B",19,21,24,22,9,14,31,10
"AL356379.2",1305,1040,1402,1409,1252,1106,1558,1384
"AL031289.1",459,486,392,351,621,605,463,418
"MIR30C1",519,485,514,437,467,419,501,384
"AC119677.1",38,24,8,17,34,27,19,14
"CTPS1",197,141,152,215,179,181,207,205
"SLFNL1-AS1",26,10,10,8,19,13,16,10
"RPL23AP17",33,16,27,25,34,16,26,17
"HIVEP3",593,531,835,687,728,654,1080,881
"AL445933.1",3547,3023,3132,2886,2884,2579,3083,2538
"HNRNPFP1",756,661,326,329,803,700,362,317
"TMSB4XP1",404,304,398,424,456,398,551,442
"RNU6-536P",760,702,849,733,892,786,1233,1014
"AC098484.2",63,42,41,29,41,40,54,30
"YBX1",68,56,89,89,45,47,101,85
"AC099795.1",1844,1701,1408,1104,1816,1673,1680,1238
"RNU6-880P",314,279,255,235,238,189,259,218
"FAM183A",214,197,235,214,373,335,336,265
"C1orf210",904,751,2003,2046,929,786,1953,1594
"TIE1",300,230,340,318,321,286,361,300
"MPL",1816,1495,2379,2060,2611,2441,3093,2288
"CDC20",143,118,142,159,167,122,255,186
"ELOVL1",3133,2940,5085,4090,2930,2640,4587,3366
"MIR6734",199,184,125,104,232,209,153,146
"PTPRF",399,365,570,535,471,414,530,409
"ST3GAL3",982,822,1353,1224,1161,1108,1703,1217
"SHMT1P1",53,51,40,29,68,40,48,35
"AL357079.2",12,2,19,18,11,10,21,10
"B4GALT2",607,388,626,655,530,514,802,725
"AL139220.1",20,26,17,11,15,19,13,12
"KLF18",74,44,48,35,45,55,40,46
"OOSP1P1",156,144,213,187,171,182,158,117
"AL035417.1",280,256,249,232,290,232,259,212
"AL035417.2",795,556,764,922,910,685,936,737
"DMAP1",1542,1351,1895,1577,1487,1374,1854,1330
"ERI3",341,304,322,273,559,518,554,429
"RNU6-369P",1532,1214,1877,1892,1497,1294,2205,1657
"MIR5584",2713,2145,3529,3383,2398,2128,3283,2440
"RNU5D-1",275,182,489,488,182,158,348,263
"KIF2C",293,262,269,222,294,256,285,231
"RPS8",952,752,1133,1074,1093,902,1224,920
"SNORD38A",224,174,239,270,321,281,350,259
"SNORD38B",3866,3087,3822,3435,3637,3047,3644,2711
"BEST4",261,242,407,366,277,268,434,359
"TCTEX1D4",349,258,291,289,274,227,253,224
"PTCH2",179,166,136,113,236,209,186,131
"CCNB1IP1P1",1440,1297,1645,1366,1625,1531,1754,1575
"HPDL",191,153,147,147,181,179,187,116
"MUTYH",33,31,48,43,22,25,30,33
"AKR1A1",59,65,51,40,25,20,59,28
"AL355480.1",1243,926,2491,2511,1291,1074,2592,1916
"NASP",439,330,307,307,243,236,362,267
"CCDC17",161,111,183,219,225,206,255,208
"TMEM69",795,671,904,819,1056,911,1119,838
"PIK3R3",326,233,421,407,335,271,413,301
"AL358075.1",57,60,43,33,56,54,82,45
"LRRC41",1695,1498,1612,1480,1476,1448,1525,1167
"UQCRH",460,413,491,387,542,539,635,441
"MOB3C",741,529,941,941,587,506,914,670
"AL593856.1",157,115,178,200,141,165,194,174
"AL731892.1",246,192,295,297,327,258,321,261
"CYP4A27P",2200,1634,2100,2232,2043,1716,2082,1626
"CYP4A44P",397,342,521,512,522,486,662,475
"CYP4Z1",471,369,512,530,431,387,559,484
"AL450996.1",335,312,341,303,349,326,350,266
"AL135960.1",12,16,9,19,19,15,20,12
"FOXD2-AS1",498,414,569,492,569,484,659,509
"TRABD2B",30,15,21,16,28,18,29,13
"AL356289.1",16,11,13,16,12,13,11,11
"SKINT1L",707,543,535,523,592,506,660,462
"AL109659.1",306,231,344,359,277,254,407,319
"AL109659.2",2225,1604,1919,1770,1898,1614,2441,1830
"SPATA6",50,36,26,32,35,38,26,26
"AL356968.2",255,228,331,337,345,342,351,281
"AGBL4",68,61,85,71,49,40,59,44
"BEND5",323,226,233,285,398,305,290,241
"AL645507.1",316,288,168,176,573,529,313,259
"AGBL4-AS1",494,403,645,649,660,524,857,604
"AL390023.1",649,553,565,534,642,570,548,415
"LINC02808",115,99,132,110,138,142,176,117
"AL596275.1",1332,960,1313,1535,1158,1055,1357,1244
"DMRTA2",1578,1187,1575,1634,1715,1500,2019,1543
"C1orf185",27,23,25,16,33,25,27,22
"AC104170.1",676,563,672,659,928,858,879,648
"CALR4P",219,236,369,281,208,185,330,246
"NRDC",178,135,173,165,186,189,182,163
"MIR761",1110,846,1511,1410,996,865,1456,1104
"TSEN15P2",252,192,299,284,232,201,257,196
"RNA5SP48",649,550,618,554,546,485,578,473
"AL445685.3",167,146,116,92,232,206,159,128
"AL445685.1",15,16,10,18,10,9,13,10
"RN7SL788P",46,33,25,30,47,46,23,27
"AL139156.2",75,68,118,95,86,89,99,85
"AL139156.1",329,227,211,255,400,394,321,283
"AL513218.2",277,260,360,308,273,263,420,355
"AL591167.1",41,36,41,31,24,24,38,27
"ECHDC2",103,91,78,60,81,73,70,52
"AC099677.1",1349,1096,1278,1098,1559,1375,1328,955
"AC099677.2",353,294,334,323,481,421,410,280
"H3P2",4873,4269,4994,4444,5072,4404,5130,3932
"PODN",103,74,79,72,89,76,85,72
"AL445183.1",317,200,429,383,357,293,421,307
"CZIB",50,35,19,18,37,30,28,21
"MAGOH",9,13,19,27,9,8,18,12
"AL355483.1",2106,1816,2368,1918,2115,1878,2059,1562
"AL049745.1",10,12,19,10,6,9,23,13
"AL049745.2",2146,1676,2216,2230,2107,1854,2265,1809
"HSPB11",11,9,14,17,6,14,21,13
"MIR4781",246,189,305,327,389,316,492,405
"SSBP3",383,248,346,396,345,288,396,305
"AL161644.1",537,478,428,353,497,449,547,380
"AL035415.1",1594,1347,1569,1336,1786,1537,1606,1225
"AC099796.1",580,484,514,463,667,540,647,485
"MROH7-TTC4",725,458,766,781,662,577,786,693
"PARS2",954,854,770,615,927,905,809,637
"TTC22",3099,2371,2520,2638,2111,1742,2477,1907
"LEXM",84,66,90,82,121,92,118,80
"DHCR24-DT",2168,2025,2572,2117,2202,2007,2686,1987
"AL590440.1",106,75,75,89,51,54,83,58
"BSND",2282,1998,2378,2179,1679,1468,2296,1728
"PIGQP1",295,190,223,252,445,395,339,246
"AL353681.1",848,763,804,688,810,748,1053,756
"AC119674.1",488,395,440,390,524,486,467,362
"RPSAP20",687,484,800,784,682,558,753,604
"PLPP3",472,425,567,490,377,399,600,430
"RPL21P23",363,321,226,190,425,467,392,248
"RPL23AP85",1515,1291,1601,1486,1657,1530,1678,1138
"FYB2",45,33,36,30,52,50,43,30
"C8A",48,42,20,31,42,27,35,24
"DAB1",1583,1338,1284,1115,1420,1307,1333,1043
"AL035411.2",207,170,129,117,248,243,188,129
"LINC02777",19,18,11,12,15,14,14,7
"FGGY",1713,1406,1526,1410,1852,1560,2051,1715
"MIR4711",38,36,31,17,48,46,40,36
"LINC02778",639,526,663,612,529,473,786,626
"NFIA",22,17,16,8,24,38,26,15
"MIR3116-1",2093,1614,2259,1938,1923,1610,2369,1813
"L1TD1",821,626,776,637,508,444,660,486
"RNU6-371P",1031,899,1322,1114,999,936,1363,1044
"DOCK7",424,413,242,235,647,586,356,273
"AL138847.1",2882,2566,2944,2507,2652,2512,2875,2307
"ATG4C",1651,1379,1405,1204,1946,1752,1607,1205
"AL162400.2",29,23,39,24,5,23,37,24
"LINC00466",3005,2719,3570,3432,2921,2637,3876,2996
"AC096543.2",155,110,138,157,121,122,120,120
"ALG6",1893,1351,2284,2363,2068,1618,2343,1977
"ITGB3BP",665,517,684,662,720,648,782,643
"PGM1",79,79,60,49,91,92,103,62
"ROR1",954,872,1033,826,1072,964,1196,931
"AL445205.1",179,128,158,163,220,204,208,173
"CACHD1",23,14,20,27,24,10,25,22
"MIR4794",195,161,153,150,186,166,182,114
"MRPS21P1",1874,1586,1878,1682,2008,1802,2063,1595
"DNAJC6",814,731,894,658,679,660,1041,719
"AC119800.1",377,270,225,242,206,167,246,188
"PDE4B-AS1",167,142,218,181,132,126,192,144
"MIR3117",54,45,51,64,72,48,48,38
"TCTEX1D1",318,282,192,194,266,243,214,174
"WDR78",390,282,386,349,320,302,410,328
"AL592161.1",27525,22248,20867,20643,22446,18917,22489,17371
"IL12RB2",12,8,9,12,17,18,18,11
"RNU6-387P",159,130,85,77,150,146,118,68
"LINC01702",14,5,11,20,22,18,39,17
"AL590559.1",303,218,206,241,356,276,304,255
"RN7SL392P",1469,1190,2746,2310,1031,913,2386,1701
"GADD45A",68,56,48,50,71,57,50,52
"RPE65",288,239,462,461,303,269,510,380
"AL035412.1",9373,8189,7662,7321,8049,6977,7404,5795
"LINC02791",550,411,727,664,469,462,660,544
"HHLA3",419,381,337,331,413,376,371,271
"CTH",3432,2628,3401,3424,3570,3081,3684,2944
"AL354872.2",525,396,854,857,493,376,885,680
"CHORDC1P5",340,336,381,281,399,333,409,309
"AL513285.1",589,508,390,303,330,300,350,284
"PTGER3",736,579,974,987,940,856,1121,928
"AL031429.1",906,619,841,876,1138,961,1208,880
"ZRANB2-AS1",734,593,798,777,712,557,889,672
"AL359821.1",30,21,34,17,16,14,31,32
"NEGR1-IT1",577,509,739,609,595,621,827,636
"LINC01360",324,282,220,206,211,182,287,203
"LINC02238",295,199,225,209,371,308,379,318
"RNA5SP50",732,631,648,591,775,723,824,587
"LRRIQ3",63,67,85,71,73,52,66,58
"ERICH3",1842,1426,1559,1511,1845,1488,1462,1098
"AC099786.1",57,62,91,78,66,46,98,62
"SLC44A5",20,16,7,5,22,18,17,10
"AL096829.1",584,528,397,355,624,499,443,364
"SNORD45C",2440,2112,2055,1804,2732,2595,2365,1880
"SNORD45A",362,338,724,431,478,435,673,546
"ASB17",60,41,31,22,62,69,33,25
"AC092813.2",3137,2992,3273,2646,2595,2501,2943,2369
"TPI1P1",272,201,325,341,419,352,475,392
"PIGK",817,659,635,599,726,687,698,516
"AC093433.1",747,587,904,886,802,726,996,780
"ACTG1P21",91,56,94,119,67,57,119,97
